Date	var	Trt	Rep	N	Axis	Nflig	Nfvis	H_last_col	nff	Lg_F1	Lg_F2	Lg_F3	Lg_F4	Lg_F5	Lg_F6	Lg_F7	Lg_F8	Lg_F9	Lg_F10	Lg_F11	Lg_F12	Lg_F13	fsen_F1	fsen_F2	fsen_F3	fsen_F4	fsen_F5	fsen_F6	fsen_F7	fsen_F8	fsen_F9	fsen_F10	fsen_F11	fsen_F12	fsen_F13	fvert_F1	fvert_F2	fvert_F3	fvert_F4	fvert_F5	fvert_F6	fvert_F7	fvert_F8	fvert_F9	fvert_F10	fvert_F11	fvert_F12	fvert_F13
19/01/2011	Mercia	T1+T2	3	30	MB	3	2		11	8,8	10,7	9,8	5,9	0,9									0	0	15																							
19/01/2011	Mercia	T1+T2	3	31	MB	3	2		12	8	9,5	9,1	6	1,5									20	10																								
19/01/2011	Mercia	T1+T2	3	32	MB	3	2		12	6,8	9,6		5,3	1,1									0	0																								
19/01/2011	Mercia	T1+T2	3	33	MB	3	1		12	8	11		5,1										0	0																								
19/01/2011	Mercia	T1+T2	3	34	MB	3	2		12		9,4	8,6	5,5	1,7										0																								
19/01/2011	Mercia	T1+T2	3	35	MB	3	1		12	8	9,4	8,5	4,2										0	0																								
19/01/2011	Mercia	T1+T2	3	36	MB	3	1		12	8,4	10,8	10	3,5										3	0																								
19/01/2011	Rht3	T1+T2	1	1	MB	3	1		11	7,5	10	9	5										0	0	0	0																						
19/01/2011	Rht3	T1+T2	1	2	MB	4	1		12	8	10	10,5	7,5	2									5	0	0	0																						
19/01/2011	Rht3	T1+T2	1	3	MB	3	1			7	7,5	8,5	3,5										2	0	0	0																						
19/01/2011	Rht3	T1+T2	1	4	MB	3	1			9	12		6										0	0	0	0																						
19/01/2011	Rht3	T1+T2	1	5	MB	3	1		11	8,5	11,5		5										0	0	0	0																						
19/01/2011	Rht3	T1+T2	1	6	MB	3	1		12		10,5												0	0	0	0																						
19/01/2011	Rht3	T1+T2	1	7	MB	3	1			9	11		2,5										0	0	0	0																						
19/01/2011	Rht3	T1+T2	1	8	MB	4	1		12	7,5	8	10		4,5									2	0	0	0																						
19/01/2011	Rht3	T1+T2	1	9	MB	3	1						3										0	0	0	0																						
19/01/2011	Rht3	T1+T2	1	10	MB	3	1			7	11,5												0	0	0	0																						
19/01/2011	Rht3	T1+T2	1	11	MB	3	1		11	8	10,5	10	6										0	0	0	0																						
19/01/2011	Rht3	T1+T2	1	12	MB	3	1			7		6	4										1	10	0	0																						
19/01/2011	Rht3	T1+T2	2	13	MB	3	1		11	8	11,5	10	5										0	0	0	0																						
19/01/2011	Rht3	T1+T2	2	14	MB	3	1		10	6,5	8	7,5	3										5	0	0	0																						
19/01/2011	Rht3	T1+T2	2	15	MB	3	1				8,5	11,5	4,5										0	2	0	0																						
19/01/2011	Rht3	T1+T2	2	16	MB	3	1			6,5	9		3,5										5	5	0	0																						
19/01/2011	Rht3	T1+T2	2	17	MB	3	1		11	6,5	8		4,5										0	0	0	0																						
19/01/2011	Rht3	T1+T2	2	18	MB	3	1			8,5	12,5	11,5	5										5	0	0	0																						
19/01/2011	Rht3	T1+T2	2	19	MB	3	1		11	6,5	7,5	8,5	3										10	0	0	0																						
19/01/2011	Rht3	T1+T2	2	20	MB	3	1			6,5	8,5	7,5	3										10	5	0	0																						
19/01/2011	Rht3	T1+T2	2	21	MB	3	1		12	5	7	7	4,5										30	10	0	0																						
19/01/2011	Rht3	T1+T2	2	22	MB	3	1		11	8	9,5		4,5										0	0	0	0																						
19/01/2011	Rht3	T1+T2	2	23	MB	3	1		11	9,5	11,5		3,5										0	0	0	0																						
19/01/2011	Rht3	T1+T2	2	24	MB	3	1			8,5	11,5	9	2										0	5	0	0																						
19/01/2011	Rht3	T1+T2	3	25	MB	3	1		11		11	10	3,5										0	0	0	0																						
19/01/2011	Rht3	T1+T2	3	26	MB	3	1		12	5,5	8	8	5,5										0	0	0	0																						
19/01/2011	Rht3	T1+T2	3	27	MB	3	1		11	8,5	9	9	5										5	10	0	0																						
19/01/2011	Rht3	T1+T2	3	28	MB	3	1		12	7,5	10,5												5	0	0	0																						
19/01/2011	Rht3	T1+T2	3	29	MB	3	1		11	6,5	9	9,2	3,5										10	0	0	0																						
19/01/2011	Rht3	T1+T2	3	30	MB	3	1		11	6,5	10	10	5										10	0	0	0																						
19/01/2011	Rht3	T1+T2	3	31	MB	3	1		11	8	11	10,5	7,5										10	0	0	0																						
19/01/2011	Rht3	T1+T2	3	32	MB	3	1		11			11	5,5										0	0	0	0																						
19/01/2011	Rht3	T1+T2	3	33	MB	3	1		11	8	10		4,5										5	0	0	0																						
19/01/2011	Rht3	T1+T2	3	34	MB	3	1		11	8,5	11	10,5	6,5										0	0	0	0																						
19/01/2011	Rht3	T1+T2	3	35	MB	3	1		11	8	12	11	6										2	0	0	0																						
19/01/2011	Rht3	T1+T2	3	36	MB	3	1		12	6													10	0	0	0																						
18/04/2011	Mercia	T1+T2	1	1	MB	9	1		12						7,5	9	15,8	22,5	27,5									100	90	1	1																	
18/04/2011	Mercia	T1+T2	1	2	MB																																											
18/04/2011	Mercia	T1+T2	1	3	MB	9	1		11						8,7	12	16,5	23,5	17,5									0	15																			
18/04/2011	Mercia	T1+T2	1	4	MB																																											
18/04/2011	Mercia	T1+T2	1	5	MB	9	1		11						10	11,9	16,7	14,5	16									100																				
18/04/2011	Mercia	T1+T2	1	6	MB																																											
18/04/2011	Mercia	T1+T2	1	7	MB	9	1		11						9	12,3	19,2	26,2	11,5									100	3	1																		
18/04/2011	Mercia	T1+T2	1	8	MB	9	1		12						11	13,4	17	21	21,5									100																				
18/04/2011	Mercia	T1+T2	1	9	MB																																											
18/04/2011	Mercia	T1+T2	1	10	MB																																											
18/04/2011	Mercia	T1+T2	1	11	MB	10	1		12						8,2	9,2	12	17,8	21	4,5								100	90		5																	
18/04/2011	Mercia	T1+T2	1	12	MB	9	1		12						11,4	12	13,9	19,5	21									100	50																			
18/04/2011	Mercia	T1+T2	2	13	MB	9	1		11						10,5	13,5	17,5	26	10									100	3	20																		
18/04/2011	Mercia	T1+T2	2	14	MB	9	1		12						9,5	12	16,5	21,5	20									100	20																			
18/04/2011	Mercia	T1+T2	2	15	MB	9	1		12						9	11,5	17	20,5	16									100	45																			
18/04/2011	Mercia	T1+T2	2	16	MB	9	1		12						9,5	12	17	21,5	24,5									100	40																			
18/04/2011	Mercia	T1+T2	2	17	MB	9	1		12							11,5	15	21	22									100	5																			
18/04/2011	Mercia	T1+T2	2	18	MB	9	1		12							9	12,5	19,5	18									100	70	3																		
18/04/2011	Mercia	T1+T2	2	19	MB	9	1		11						11,5	14	20,5	24,5	4									70																				
18/04/2011	Mercia	T1+T2	2	20	MB	9	1		12						10,5	13	16	20,5	19									100	30																			
18/04/2011	Mercia	T1+T2	2	21	MB	9	1		11						9	12,5	17,5	22	10									100																				
18/04/2011	Mercia	T1+T2	2	22	MB	9	1		11						10	13	18,5	25,5	13									100																				
18/04/2011	Mercia	T1+T2	2	23	MB	10	1		12							11	14,5	21	24	5								100	90																			
18/04/2011	Mercia	T1+T2	2	24	MB	9	1		11							11,5	19	22,5	8									100	30																			
18/04/2011	Mercia	T1+T2	3	25	MB	9	1		12						9	11,2	14,5	21	22,3									100	5																			
18/04/2011	Mercia	T1+T2	3	26	MB	10	1		13							11	12,5	17,5	23,3	11								100	100	1	1																	
18/04/2011	Mercia	T1+T2	3	27	MB	9	1		11						12	15,5	17,5	25,5	13,8									100																				
18/04/2011	Mercia	T1+T2	3	28	MB	9	1		12						7,5	9,5	15,5	22,8	22									100																				
18/04/2011	Mercia	T1+T2	3	29	MB	8	1		11						13,5	16,5	21,8	23,5										15																				
18/04/2011	Mercia	T1+T2	3	30	MB	9	1		11						11,5	13,5	19	14,5	10									100	5																			
18/04/2011	Mercia	T1+T2	3	31	MB	9	1		12						9	11,5	16,5	21	26,8									100	5																			
18/04/2011	Mercia	T1+T2	3	32	MB	9	1		12						9,5	12	14,5	20,5	17									100	50																			
18/04/2011	Mercia	T1+T2	3	33	MB	9	1		12						9,5	12	17	24	16									100																				
18/04/2011	Mercia	T1+T2	3	34	MB	10	1		12						9	12	15,5	19,5	24,8	6,5								100	15																			
18/04/2011	Mercia	T1+T2	3	35	MB	9	1		12						9,2	12,2	16	21,5	22,4									80																				
18/04/2011	Mercia	T1+T2	3	36	MB	9	1		12						9	12,2	17,5	22	14,7									100	1	1																		
18/04/2011	Rht3	T1+T2	1	1	MB	9	1		11							12,7	15,8	18,5	8,3									100	20	5																		
18/04/2011	Rht3	T1+T2	1	2	MB	9	1		12							12,5	14	16,2	17									100	30	3																		
18/04/2011	Rht3	T1+T2	1	3	MB	8	1								9,5	10,8	13,7	11										90	15	2																		
18/04/2011	Rht3	T1+T2	1	4	MB	8	1								11,8	13,5	17,2	14										100																				
18/04/2011	Rht3	T1+T2	1	5	MB	8	1		11						10,6	13	17,4	12,4										20	5																			
18/04/2011	Rht3	T1+T2	1	6	MB	9	1		12						9,2	10,6	13,7	15,7	12,8									100	10	5																		
18/04/2011	Rht3	T1+T2	1	7	MB	8	1								9,2	11,5	15,3	7,3										60	3																			
18/04/2011	Rht3	T1+T2	1	8	MB	9	1		12						9,3	12,6	12,8	9,6	9									100	2	1																		
18/04/2011	Rht3	T1+T2	1	9	MB	8	1								7,7	10,4	12,1	1,5										95	5																			
18/04/2011	Rht3	T1+T2	1	10	MB	8	1								10	12,2	15,7											100	10	2																		
18/04/2011	Rht3	T1+T2	1	11	MB	8	1		11						12,3	14,2	17,5	16,5										75																				
18/04/2011	Rht3	T1+T2	1	12	MB	7	1									10,5	6											40	45																			
18/04/2011	Rht3	T1+T2	2	13	MB	8	1		11						12	13,3	17,5	18,5										70	5																			
18/04/2011	Rht3	T1+T2	2	14	MB	9	1		10						8,5	10,5	16,5	17	4,5									20		5																		
18/04/2011	Rht3	T1+T2	2	15	MB																																											
18/04/2011	Rht3	T1+T2	2	16	MB	9	1								9,5	13	18,5	18,5	5,5									100	5	70																		
18/04/2011	Rht3	T1+T2	2	17	MB	9	1		11						8,5	9	12	15,5	2,5									100	10																			
18/04/2011	Rht3	T1+T2	2	18	MB																																											
18/04/2011	Rht3	T1+T2	2	19	MB	8	1		11						9	10,5	14,5	14,5										60	20																			
18/04/2011	Rht3	T1+T2	2	20	MB																																											
18/04/2011	Rht3	T1+T2	2	21	MB	9	1		12						6,5	7	9	14	16,5									100	30																			
18/04/2011	Rht3	T1+T2	2	22	MB	9	1		11						9	13	18	20,5	8									95																				
18/04/2011	Rht3	T1+T2	2	23	MB	9	1		11						9,5	12,5	16,5	17	4,5									100																				
18/04/2011	Rht3	T1+T2	2	24	MB	7	1								11,5	14,5	12											3																				
18/04/2011	Rht3	T1+T2	3	25	MB	9	1		11						11	12,5	16	19,5	7									50																				
18/04/2011	Rht3	T1+T2	3	26	MB	9	1		12						8	8,5	10,5	16,5	17									100	50																			
18/04/2011	Rht3	T1+T2	3	27	MB	9	1		11						11	13,5	17	20	6									100	5	5																		
18/04/2011	Rht3	T1+T2	3	28	MB	9	1		12						10	11,5	15	18,5	17									100	40	5																		
18/04/2011	Rht3	T1+T2	3	29	MB	9	1		11						9,5	13	19	18	6									30	10																			
18/04/2011	Rht3	T1+T2	3	30	MB	9	1		11						11,5	12,5	15	18,5	6									100	5																			
18/04/2011	Rht3	T1+T2	3	31	MB	9	1		11						11,5	14	17	21	11									100	10																			
18/04/2011	Rht3	T1+T2	3	32	MB	8	1		11						9,5	10	13,5	17	3									90	30																			
18/04/2011	Rht3	T1+T2	3	33	MB	8	1		11						10,5	13	16	17,5										80																				
18/04/2011	Rht3	T1+T2	3	34	MB	9	1		11						10	12	16	21	13,5									100	70																			
18/04/2011	Rht3	T1+T2	3	35	MB	9	1		11						11	12,5	16,5	18,5	7									100	20																			
18/04/2011	Rht3	T1+T2	3	36	MB	9	1		12							11,5	15,5	17,5	16									100																				
27/04/2011	Mercia	T1+T2	1	1	MB	11	1		12											23	8,3																											
27/04/2011	Mercia	T1+T2	1	2	MB																																											
27/04/2011	Mercia	T1+T2	1	3	MB	10	1		11										28,7	16,7																												
27/04/2011	Mercia	T1+T2	1	4	MB																																											
27/04/2011	Mercia	T1+T2	1	5	MB	10	1		11										27,9	17,3																												
27/04/2011	Mercia	T1+T2	1	6	MB																																											
27/04/2011	Mercia	T1+T2	1	7	MB	10	1		11										27,1	15,5																												
27/04/2011	Mercia	T1+T2	1	8	MB	11	1		12											22,2	7,3																											
27/04/2011	Mercia	T1+T2	1	9	MB																																											
27/04/2011	Mercia	T1+T2	1	10	MB																																											
27/04/2011	Mercia	T1+T2	1	11	MB	11	1		12											23,2	9																											
27/04/2011	Mercia	T1+T2	1	12	MB				12																																							
27/04/2011	Mercia	T1+T2	2	13	MB	10	1		11										26,6	12,1																												
27/04/2011	Mercia	T1+T2	2	14	MB	11	1		12											20,6	5,7																											
27/04/2011	Mercia	T1+T2	2	15	MB	11	1		12											24,7	4,3																											
27/04/2011	Mercia	T1+T2	2	16	MB	11	1		12											24,9	9,6																											
27/04/2011	Mercia	T1+T2	2	17	MB	12	1		12												22,8	4,5																										
27/04/2011	Mercia	T1+T2	2	18	MB	11	1		12											22,2	6,2																											
27/04/2011	Mercia	T1+T2	2	19	MB	10	1		11										23,5	10																												
27/04/2011	Mercia	T1+T2	2	20	MB	11	1		12											19,9	4,3																											
27/04/2011	Mercia	T1+T2	2	21	MB	10	1		11										25,1	14,4																												
27/04/2011	Mercia	T1+T2	2	22	MB	10	1		11										27,8	14																												
27/04/2011	Mercia	T1+T2	2	23	MB	11	1		12											23,3	11																											
27/04/2011	Mercia	T1+T2	2	24	MB	10	1		11										24,8	11,1																												
27/04/2011	Mercia	T1+T2	3	25	MB	11	1		12											21,2	8,1																											
27/04/2011	Mercia	T1+T2	3	26	MB	11	1		13											25,2	2,3																											
27/04/2011	Mercia	T1+T2	3	27	MB	10	1		11										28,2	14,6																												
27/04/2011	Mercia	T1+T2	3	28	MB	11	1		12											28,5	8,3																											
27/04/2011	Mercia	T1+T2	3	29	MB	10	1		11										25,9	5,9																												
27/04/2011	Mercia	T1+T2	3	30	MB	10	1		11										27,2	14																												
27/04/2011	Mercia	T1+T2	3	31	MB	11	1		12											24	9,6																											
27/04/2011	Mercia	T1+T2	3	32	MB	11	1		12											22,3	3,2																											
27/04/2011	Mercia	T1+T2	3	33	MB	10	1		12										25,8	21,1																												
27/04/2011	Mercia	T1+T2	3	34	MB	11	1		12											26,2	12																											
27/04/2011	Mercia	T1+T2	3	35	MB	11	1		12											27,5	4,7																											
27/04/2011	Mercia	T1+T2	3	36	MB	11	0		12											24,8																												
27/04/2011	Rht3	T1+T2	1	1	MB	10	1		11										21	8,7																												
27/04/2011	Rht3	T1+T2	1	2	MB	11	1		12											21,5	5,5																											
27/04/2011	Rht3	T1+T2	1	3	MB																																											
27/04/2011	Rht3	T1+T2	1	4	MB	10	1												14,3	3,6																												
27/04/2011	Rht3	T1+T2	1	5	MB	9	1		11									17	5,1																													
27/04/2011	Rht3	T1+T2	1	6	MB	11	1		12											21,3	4,2																											
27/04/2011	Rht3	T1+T2	1	7	MB																																											
27/04/2011	Rht3	T1+T2	1	8	MB	10	1		12										12,7	19,7																												
27/04/2011	Rht3	T1+T2	1	9	MB																																											
27/04/2011	Rht3	T1+T2	1	10	MB																																											
27/04/2011	Rht3	T1+T2	1	11	MB	10	1		11										10,1	5,6																												
27/04/2011	Rht3	T1+T2	1	12	MB																																											
27/04/2011	Rht3	T1+T2	2	13	MB	10	1		11										15,5	2,4																												
27/04/2011	Rht3	T1+T2	2	14	MB	9	1		10									17,4	17,1																													
27/04/2011	Rht3	T1+T2	2	15	MB																																											
27/04/2011	Rht3	T1+T2	2	16	MB	9	1											16	10,8																													
27/04/2011	Rht3	T1+T2	2	17	MB	10	1		11										17,5	4,2																												
27/04/2011	Rht3	T1+T2	2	18	MB																																											
27/04/2011	Rht3	T1+T2	2	19	MB	10	1		11										18,1	3,4																												
27/04/2011	Rht3	T1+T2	2	20	MB																																											
27/04/2011	Rht3	T1+T2	2	21	MB	11	1		12											16,5	4,2																											
27/04/2011	Rht3	T1+T2	2	22	MB	10	1		11										23,1	8,2																												
27/04/2011	Rht3	T1+T2	2	23	MB	10	1		11										21	4																												
27/04/2011	Rht3	T1+T2	2	24	MB	7	1									14,6	12,3																															
27/04/2011	Rht3	T1+T2	3	25	MB	10	1		11										19,9	8,2																												
27/04/2011	Rht3	T1+T2	3	26	MB	11	1		12											17,6	4,2																											
27/04/2011	Rht3	T1+T2	3	27	MB	10	1		11										21,4	5,6																												
27/04/2011	Rht3	T1+T2	3	28	MB	11	1		12											19,6	6,3																											
27/04/2011	Rht3	T1+T2	3	29	MB	10	1		11										20,4	5,4																												
27/04/2011	Rht3	T1+T2	3	30	MB	10	1		11										20,1	6,9																												
27/04/2011	Rht3	T1+T2	3	31	MB	10	1		11										22,2	9,1																												
27/04/2011	Rht3	T1+T2	3	32	MB	10	1		11										18,5	5,1																												
27/04/2011	Rht3	T1+T2	3	33	MB	9	1		11									18,2	18,2																													
27/04/2011	Rht3	T1+T2	3	34	MB	10	1		11										23,6	12,1																												
27/04/2011	Rht3	T1+T2	3	35	MB	10	1		11										20,2	8,1																												
27/04/2011	Rht3	T1+T2	3	36	MB	10	1		12										20,1	19,2																												
26/05/2011	Mercia	T1+T2	1	1	MB	12	0		12									22	26,5	22,6	16,2		100	100	100	100	100	100	100	100	100	25	3	3														
26/05/2011	Mercia	T1+T2	1	2	MB																																											
26/05/2011	Mercia	T1+T2	1	3	MB	11	0		11									23	28	19,2			100	100	100	100	100	100	100	100	85	12	3															
26/05/2011	Mercia	T1+T2	1	4	MB																																											
26/05/2011	Mercia	T1+T2	1	5	MB	11	0		11									24,4	28,4	19,2			100	100	100	100	100	100	100	100	30	4	3															
26/05/2011	Mercia	T1+T2	1	6	MB																																											
26/05/2011	Mercia	T1+T2	1	7	MB	11	0		11									26	26,1	19,8			100	100	100	100	100	100	100	100	65	4	1															
26/05/2011	Mercia	T1+T2	1	8	MB	12	0		12									21	26,2	22	14,9		100	100	100	100	100	100	100	100	95	4	1	4														
26/05/2011	Mercia	T1+T2	1	9	MB																																											
26/05/2011	Mercia	T1+T2	1	10	MB																																											
26/05/2011	Mercia	T1+T2	1	11	MB	12	0		12									17,8	21,4	22,5			100	100	100	100	100	100	100	100	100	45	1	2														
26/05/2011	Mercia	T1+T2	1	12	MB	12	0		12									19,4	24	22,1	15,4		100	100	100	100	100	100	100	100	100	25	4	4														
26/05/2011	Mercia	T1+T2	2	13	MB	11	0		11									28	26,5	17,8			100	100	100	100	100	100	100	100	30	1	3															
26/05/2011	Mercia	T1+T2	2	14	MB	12	0		12									21,2	23,6	20,4	13,1		100	100	100	100	100	100	100	100	100	6	1	2														
26/05/2011	Mercia	T1+T2	2	15	MB	12	0		12									21,6	25,2	24,8	19		100	100	100	100	100	100	100	100	100	50	7	3														
26/05/2011	Mercia	T1+T2	2	16	MB	12	0		12									22	24,2	24,5	18		100	100	100	100	100	100	100	100	100	1	12	4														
26/05/2011	Mercia	T1+T2	2	17	MB	12	0		12									21,4	22,2		15,8		100	100	100	100	100	100	100	100	75	4	0	2														
26/05/2011	Mercia	T1+T2	2	18	MB	12	0		12									19,2	20	22	17,2		100	100	100	100	100	100	100	100	100	3	2	1														
26/05/2011	Mercia	T1+T2	2	19	MB	11	0		11								20,1	24,5	23,1	16,8			100	100	100	100	100	100	100	70	7	1	2															
26/05/2011	Mercia	T1+T2	2	20	MB	12	0		12									21	23,9	20	12,5		100	100	100	100	100	100	100	100	80	4	1	2														
26/05/2011	Mercia	T1+T2	2	21	MB	11	0		11									22	24,3	19,5			100	100	100	100	100	100	100	100	18	2	2															
26/05/2011	Mercia	T1+T2	2	22	MB	11	0		11									25,3	27,5				100	100	100	100	100	100	100	100	20	3	2															
26/05/2011	Mercia	T1+T2	2	23	MB	12	0		12									21	23,5	23,2	16,6		100	100	100	100	100	100	100	100	100	15	5	7														
26/05/2011	Mercia	T1+T2	2	24	MB	11	0		11									21,7	24,8				100	100	100	100	100	100	100	100	10	3	1															
26/05/2011	Mercia	T1+T2	3	25	MB	12	0		12									21	23,4	21	13,5		100	100	100	100	100	100	100	100	25	1	1	1														
26/05/2011	Mercia	T1+T2	3	26	MB	13	0		13									17,5	23,2	24,6	22,3	18,6	100	100	100	100	100	100	100	100	100	20	1	5	1													
26/05/2011	Mercia	T1+T2	3	27	MB	11	0		11									25,4	27,5	18,6			100	100	100	100	100	100	100	100	30	1	4															
26/05/2011	Mercia	T1+T2	3	28	MB	12	0		12									21,5	22,6	22,3	16		100	100	100	100	100	100	100	100	75	5	8	2														
26/05/2011	Mercia	T1+T2	3	29	MB	11	0		11								22,4	24,6	25,6				100	100	100	100	100	100	100	50	1	7	1															
26/05/2011	Mercia	T1+T2	3	30	MB	11	0		11														100	100	100	100	100	100	100	25	1	2	45															
26/05/2011	Mercia	T1+T2	3	31	MB	12	0		12										26,2	23,7	16,8			100	100	100	100	100	100	100	100	1	1	1														
26/05/2011	Mercia	T1+T2	3	32	MB	12	0		12									20,8	22,7	21,6	17,1		100	100	100	100	100	100	100	100	60	5	0	1														
26/05/2011	Mercia	T1+T2	3	33	MB	12	0		12								16,5	24	25,4	20,5	14,4		100	100	100	100	100	100	100	95	40	1	2	1														
26/05/2011	Mercia	T1+T2	3	34	MB	12	0		12									20,2	25,4	25,9	18,6		100	100	100	100	100	100	100	100	35	5	4	2														
26/05/2011	Mercia	T1+T2	3	35	MB	12	0		12									21	27,8	26,6	20,7		100	100	100	100	100	100	100	100	90	2	4	4														
26/05/2011	Mercia	T1+T2	3	36	MB	12	0		12									21,5	23,5	23,7	18,2		100	100	100	100	100	100	100	100	50	2	1	3														
26/05/2011	Rht3	T1+T2	1	1	MB	11	0		11									19	21				100	100	100	100	100	100	100	100	15	5	2															
26/05/2011	Rht3	T1+T2	1	2	MB	12	0		12									16,2	19,7	21,2	16,6		100	100	100	100	100	100	100	100	50	3	1	2														
26/05/2011	Rht3	T1+T2	1	3	MB																																											
26/05/2011	Rht3	T1+T2	1	4	MB																																											
26/05/2011	Rht3	T1+T2	1	5	MB	11	0		11								17	16,9	11,5				100	100	100	100	100	100	100	15	3	0	0															
26/05/2011	Rht3	T1+T2	1	6	MB	12	0		12									16	17,2	21	17,3		100	100	100	100	100	100	100	100	15	1	1	1														
26/05/2011	Rht3	T1+T2	1	7	MB																																											
26/05/2011	Rht3	T1+T2	1	8	MB	12	0		12									10	12,7		17		100	100	100	100	100	100	100	100	75	1	2	2														
26/05/2011	Rht3	T1+T2	1	9	MB																																											
26/05/2011	Rht3	T1+T2	1	10	MB																																											
26/05/2011	Rht3	T1+T2	1	11	MB	11	0		11									17,3	15,5	18,5			100	100	100	100	100	100	100	100	5	0	0															
26/05/2011	Rht3	T1+T2	1	12	MB																																											
26/05/2011	Rht3	T1+T2	2	13	MB	11	0		11								17,3	18,7	15,3	15,5			100	100	100	100	100	100	100	90	5	2	1															
26/05/2011	Rht3	T1+T2	2	14	MB	10	0		10									15,7	18				100	100	100	100	100	100	100	100	10	3																
26/05/2011	Rht3	T1+T2	2	15	MB																																											
26/05/2011	Rht3	T1+T2	2	16	MB																																											
26/05/2011	Rht3	T1+T2	2	17	MB	11	0		11									15,4	18	14,3			100	100	100	100	100	100	100	100	7	1	1															
26/05/2011	Rht3	T1+T2	2	18	MB																																											
26/05/2011	Rht3	T1+T2	2	19	MB	11	0		11									16,8	18,2	14			100	100	100	100	100	100	100	100	20	4	2															
26/05/2011	Rht3	T1+T2	2	20	MB																																											
26/05/2011	Rht3	T1+T2	2	21	MB	12	0		12										16,5	16,5	16,2		100	100	100	100	100	100	100	100	100	7	1	1														
26/05/2011	Rht3	T1+T2	2	22	MB	10	1		11									19,6	22,6				100	100	100	100	100	100	100	100	4	15	5															
26/05/2011	Rht3	T1+T2	2	23	MB	11	0		11									17,3	20,7	14,6			100	100	100	100	100	100	100	100	4	0	1															
26/05/2011	Rht3	T1+T2	2	24	MB																																											
26/05/2011	Rht3	T1+T2	3	25	MB	11	0		11									18,7	20	14,7			100	100	100	100	100	100	100	100	100	2	2															
