"label","Date","N","lmax","A_bl","A_bl_green"
"Tremie12","09/03/2012",1,104.6394,30.45804,16.650111
"Tremie12","02/04/2012",1,51.2027,49.6167,49.2931
"Tremie12","11/04/2012",1,286.2945,173.81797,161.0279
"Tremie12","09/05/2012",1,204.5,171.1,156.4
"Tremie12","09/03/2012",2,150.4555,55.55276,31.038943
"Tremie12","02/04/2012",2,29.2004,26.9818,26.7832
"Tremie12","11/04/2012",2,245.64686,166.754077,162.8662487
"Tremie12","09/05/2012",2,161.4,159.9,145.8
"Tremie12","09/03/2012",3,123.7205,32.85473,20.0288
"Tremie12","02/04/2012",3,38.0106,38.84,38.8067
"Tremie12","11/04/2012",3,167.6749,131.03979,128.47559
"Tremie12","09/05/2012",3,199.8,169.6,150.5
"Tremie12","09/03/2012",4,131.78,53.80386,42.02177
"Tremie12","02/04/2012",4,45.663,42.3821,42.3529
"Tremie12","11/04/2012",4,160.8241,128.43203,118.553141
"Tremie12","09/05/2012",4,293.9,268.6,239.3
"Tremie12","09/03/2012",5,132.3019,35.39288,18.956297
"Tremie12","02/04/2012",5,54.7782,62.9032,60.7352
"Tremie12","11/04/2012",5,163.0141,98.6598,95.88614
"Tremie12","09/05/2012",5,329.4,237.8,225
"Tremie12","09/03/2012",6,149.9514,58.28797,39.18537
"Tremie12","11/04/2012",6,156.6951,107.4459,102.158834
"Tremie12","09/05/2012",6,180.1,146.7,125.4
"Tremie12","09/03/2012",7,209.8096,81.99389,71.20581
"Tremie12","02/04/2012",7,37.2591,37.6392,36.986
"Tremie12","11/04/2012",7,153.4132,100.1761,96.8866
"Tremie12","09/05/2012",7,358.4,316.5,301.7
"Tremie12","09/03/2012",8,87.8228,36.57307,31.06982
"Tremie12","02/04/2012",8,46.5362,45.8659,45.2766
"Tremie12","11/04/2012",8,146.8853,115.3629,111.4572
"Tremie12","09/05/2012",8,176.8,180.8,172.9
"Tremie12","09/03/2012",9,179.8032,83.85199,64.48104
"Tremie12","02/04/2012",9,45.6625,45.1558,44.9895
"Tremie12","11/04/2012",9,264.9932,227.87031,220.14998
"Tremie12","09/05/2012",9,179.6,166.1,150.3
"Tremie12","09/03/2012",10,70.0245,22.31248,16.53092
"Tremie12","02/04/2012",10,53.1038,56.3181,56.1356
"Tremie12","11/04/2012",10,268.8624,207.60149,201.09596
"Tremie12","09/05/2012",10,171.5,150.4,133.4
"Tremie12","09/03/2012",11,149.8796,53.49316,39.153561
"Tremie12","02/04/2012",11,39.9416,41.6911,41.6855
"Tremie12","11/04/2012",11,256.6043,194.3992,180.5235
"Tremie12","09/05/2012",11,98.6,69.5,64.6
"Tremie12","09/03/2012",12,122.7859,39.7072,28.07134
"Tremie12","02/04/2012",12,46.7014,49.9606,47.3025
"Tremie12","11/04/2012",12,214.6054,175.2502,167.10993
"Tremie12","09/05/2012",12,173.5,148.5,139.4
"Tremie12","09/03/2012",13,64.0311,30.3543,23.34326
"Tremie12","02/04/2012",13,55.694,49.629,47.9977
"Tremie12","11/04/2012",13,200.5343,197.34184,191.70026
"Tremie12","09/05/2012",13,221.1,222.4,210.9
"Tremie12","09/03/2012",14,81.7761,30.064,25.49788
"Tremie12","02/04/2012",14,44.1601,40.4891,37.2001
"Tremie12","11/04/2012",14,199.1376,144.72082,140.27265
"Tremie12","09/05/2012",14,254.7,265.5,256.2
"Tremie12","09/03/2012",15,97.2043,44.08573,35.8489
"Tremie12","02/04/2012",15,32.526,25.2299,24.8963
"Tremie12","11/04/2012",15,230.9046,185.1846,179.0391
"Tremie12","09/05/2012",15,135,150.1,147.5
"Tremie12","09/03/2012",16,88.6936,28.10226,17.848846
"Tremie12","02/04/2012",16,58.7514,54.8794,54.3956
"Tremie12","11/04/2012",16,84.8701,79.8021,73.88394
"Tremie12","09/05/2012",16,292.4,279.2,268.6
"Tremie12","09/03/2012",17,70.9718,26.35234,23.62587
"Tremie12","02/04/2012",17,40.8799,40.5115,40.367
"Tremie12","11/04/2012",17,246.1297,160.09837,147.59929
"Tremie12","09/05/2012",17,165.6,173.1,168
"Tremie12","09/03/2012",18,101.6116,31.3311,23.71093
"Tremie12","02/04/2012",18,29.8876,31.8807,31.7087
"Tremie12","11/04/2012",18,433.5448,342.49982,318.76093
"Tremie12","09/05/2012",18,196.2,199.7,188.3
"Tremie12","09/03/2012",19,55.5364,13.87431,10.16256
"Tremie12","02/04/2012",19,40.276,36.4056,36.3397
"Tremie12","11/04/2012",19,454.0765,408.4791,390.59404
"Tremie12","09/05/2012",19,180.1,224.2,215.3
"Tremie12","09/03/2012",20,57.7663,20.5308,18.28825
"Tremie12","02/04/2012",20,73.2045,75.1779,74.8517
"Tremie12","11/04/2012",20,342.4828,221.46918,211.39783
"Tremie12","09/05/2012",20,268.3,291.8,264.8
"Tremie12","09/03/2012",21,88.7289,30.59621,22.628204
"Tremie12","11/04/2012",21,174.6503,159.2706,152.8778543
"Tremie12","09/05/2012",21,151.2,142.9,138.2
"Tremie12","09/03/2012",22,91.867,34.5398,29.91936
"Tremie12","11/04/2012",22,335.2363,282.86002,275.17052
"Tremie12","09/05/2012",22,117.9,124.9,114.7
"Tremie12","09/03/2012",23,98.8743,35.34168,31.63524
"Tremie12","11/04/2012",23,261.8662,268.9428,254.4412
"Tremie12","09/05/2012",23,123.1,109.3,104.2
"Tremie12","09/03/2012",24,142.67462,48.67253,40.595176
"Tremie12","02/04/2012",24,35.6454,39.0176,37.3052
"Tremie12","11/04/2012",24,134.3054,128.7809,124.1393
"Tremie12","09/05/2012",24,205.8,203.8,182.3
"Tremie12","09/03/2012",25,79.2028,29.9056,26.43973
"Tremie12","02/04/2012",25,66.8867,67.4246,66.5588
"Tremie12","11/04/2012",25,88.592,88.74816,82.769545
"Tremie12","09/05/2012",25,267.2,172,159.3
"Tremie12","09/03/2012",26,103.8439,36.79663,27.300705
"Tremie12","02/04/2012",26,91.2956,88.4851,86.1542
"Tremie12","11/04/2012",26,322.3856,266.00931,257.75694
"Tremie12","09/05/2012",26,280.1,299.1,272.7
"Tremie12","09/03/2012",27,100.31211,33.546708,28.166738
"Tremie12","02/04/2012",27,71.6634,66.5732,66.0804
"Tremie12","11/04/2012",27,461.9555,252.48737,229.09276
"Tremie12","09/05/2012",27,289.1,232.4,223.1
"Tremie12","09/03/2012",28,119.0399,53.89469,43.094402
"Tremie12","02/04/2012",28,52.6627,53.3479,49.978
"Tremie12","11/04/2012",28,385.7782,293.113,283.0185
"Tremie12","09/05/2012",28,218.7,185,170.4
"Tremie12","09/03/2012",29,129.1557,37.477244,26.5872868
"Tremie12","02/04/2012",29,49.9951,42.0472,39.6282
"Tremie12","11/04/2012",29,294.729,213.53091,198.11508
"Tremie12","09/05/2012",29,165.7,137.5,135.1
"Tremie12","09/03/2012",30,146.9768,54.47007,46.709024
"Tremie12","11/04/2012",30,225.6925,175.6311,167.23087
"Tremie12","09/05/2012",30,176.9,197.2,174.1
"Tremie13","22/04/2013",1,NA,167.68692269,157.346298211171
"Tremie13","03/05/2013",1,NA,207.44700446,187.195432060855
"Tremie13","03/05/2013",2,NA,154.77662593,133.434733129963
"Tremie13","22/04/2013",3,NA,222.81955436,210.924094276902
"Tremie13","03/05/2013",3,NA,212.24893034,186.123660012229
"Tremie13","22/04/2013",4,NA,85.29676489,81.4414500202451
"Tremie13","03/05/2013",4,NA,161.57177363,135.551825671637
"Tremie13","22/04/2013",5,NA,178.46964306,169.068855408589
"Tremie13","03/05/2013",5,NA,191.80848735,157.454362511372
"Tremie13","22/04/2013",6,NA,193.38977451,179.174480361882
"Tremie13","03/05/2013",6,NA,168.66643686,137.365047847435
"Tremie13","22/04/2013",7,NA,92.18610595,88.6185324406374
"Tremie13","03/05/2013",7,NA,244.0382216,220.811977729614
"Tremie13","22/04/2013",8,NA,162.0351598,156.055171761866
"Tremie13","03/05/2013",8,NA,154.24146571,143.147616928778
"Tremie13","22/04/2013",9,NA,67.17486565,63.8932593089628
"Tremie13","03/05/2013",9,NA,180.60205815,166.803214779797
"Tremie13","22/04/2013",10,NA,205.57620175,197.276702220025
"Tremie13","03/05/2013",10,NA,118.23556998,112.122356399556
"Tremie13","22/04/2013",11,NA,165.02337963,155.890817250849
"Tremie13","03/05/2013",11,NA,195.6979957,179.951414289896
"Tremie13","22/04/2013",12,NA,99.52705901,96.6975485393225
"Tremie13","03/05/2013",12,NA,120.03508251,109.024136788197
"Tremie13","22/04/2013",13,NA,174.36561901,165.04112153109
"Tremie13","03/05/2013",13,NA,136.60714614,116.269283588341
"Tremie13","22/04/2013",14,NA,56.98359571,55.53940505062
"Tremie13","03/05/2013",14,NA,181.13641192,162.842254957951
"Tremie13","22/04/2013",15,NA,165.61499135,157.588717079933
"Tremie13","03/05/2013",15,NA,149.3045401,124.334428749114
"Tremie13","22/04/2013",16,NA,129.95215945,120.936532318718
"Tremie13","03/05/2013",16,NA,119.22169704,106.88139914262
"Tremie13","22/04/2013",17,NA,234.64920812,223.715197731777
"Tremie13","03/05/2013",17,NA,87.35901883,75.7542033294733
"Tremie13","22/04/2013",18,NA,166.11192584,158.881779009996
"Tremie13","03/05/2013",18,NA,229.30970267,196.996218908244
"Tremie13","22/04/2013",19,NA,199.57589117,189.419621157989
"Tremie13","03/05/2013",19,NA,196.15622059,168.872242899446
"Tremie13","22/04/2013",20,NA,268.73768833,249.828210021288
"Tremie13","03/05/2013",20,NA,235.90049594,203.563947707074
"Tremie13","22/04/2013",21,NA,172.72481584,162.166611151556
"Tremie13","03/05/2013",21,NA,154.00888553,130.747157861687
"Tremie13","22/04/2013",22,NA,165.98499061,153.992272659549
"Tremie13","03/05/2013",22,NA,131.29118903,120.886855001165
"Tremie13","22/04/2013",23,NA,142.66939208,135.493599980173
"Tremie13","03/05/2013",23,NA,71.8917917,64.4126131104939
"Tremie13","22/04/2013",24,NA,94.29142432,87.9345015484657
"Tremie13","03/05/2013",24,NA,119.65976068,104.341242927331
"Tremie13","22/04/2013",25,NA,144.89019409,139.390043797752
"Tremie13","03/05/2013",25,NA,213.94892694,167.304826680135
"Tremie13","22/04/2013",26,NA,148.48421916,138.495529460956
"Tremie13","03/05/2013",26,NA,177.59206417,159.085004407866
"Tremie13","22/04/2013",27,NA,169.85949899,159.706293490818
"Tremie13","03/05/2013",27,NA,173.86449098,154.39662668597
"Tremie13","22/04/2013",28,NA,62.02019854,58.4153670404951
"Tremie13","03/05/2013",28,NA,159.58387438,144.212937380471
"Tremie13","03/05/2013",29,NA,196.79202577,161.439677119766
"Tremie13","03/05/2013",30,NA,153.93017601,135.340858349422
"Tremie13","22/04/2013",31,NA,281.66524312,269.407041834371
"Tremie13","03/05/2013",31,NA,249.11869531,216.240212681391
"Tremie13","22/04/2013",32,NA,101.29463612,95.9438403684266
"Tremie13","03/05/2013",32,NA,77.47161925,67.4793811709891
"Tremie13","22/04/2013",33,NA,183.21189164,171.71143077251
"Tremie13","03/05/2013",33,NA,186.03785373,166.400151070946
"Tremie13","22/04/2013",34,NA,85.65015128,78.4321011996627
"Tremie13","03/05/2013",34,NA,117.01670145,107.443010920265
"Tremie13","22/04/2013",35,NA,195.67831832,184.013502943065
"Tremie13","03/05/2013",35,NA,208.6657117,198.088958656104
"Tremie13","22/04/2013",36,NA,47.58151774,45.5787798099406
"Tremie13","03/05/2013",36,NA,228.34486589,216.568276541489
"Tremie13","22/04/2013",37,NA,150.78066618,143.586809601711
"Tremie13","03/05/2013",37,NA,161.88241817,158.046296809754
"Tremie13","22/04/2013",38,NA,119.62701881,116.641540911304
"Tremie13","03/05/2013",38,NA,232.60501866,224.405841509388
"Tremie13","22/04/2013",39,NA,121.99765923,117.06815296075
"Tremie13","03/05/2013",39,NA,126.33926345,121.511047299122
"Tremie13","22/04/2013",40,NA,367.62426475,345.818501910774
"Tremie13","03/05/2013",40,NA,261.75576681,249.940306569863
"Tremie13","22/04/2013",41,NA,112.89461292,107.893977758252
"Tremie13","03/05/2013",41,NA,210.34167609,205.276524934489
"Tremie13","22/04/2013",42,NA,221.32649283,209.944580112963
"Tremie13","03/05/2013",42,NA,295.16618386,277.486057931085
"Tremie13","22/04/2013",43,NA,111.68138954,105.554950181487
"Tremie13","03/05/2013",43,NA,188.72462255,175.303520359877
"Tremie13","22/04/2013",44,NA,172.18820401,164.382574459295
"Tremie13","03/05/2013",44,NA,158.29468341,152.445824139766
"Tremie13","22/04/2013",45,NA,139.95988137,132.7390893616
